,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,0
19,A,8.0,G,V,0.0,a,A,1.0,c0,2.98076225293322,15.47175809119831,6.360468600409478,2059.6266666666666,90.0,220.35004842508712,2.0622522528328893,25.803930143695048,0.0,0.0,80.0,3.0,0
20,B,10.0,E,T,1.0,e,A,1.0,c0,2.4914671858406763,27.92762912644943,4.905817024212451,376.01333333333326,100.0,229.98610747088932,1.3205502862621208,89.17911034025794,0.0,0.0,60.0,3.0,0
21,A,11.0,E,S,1.0,e,A,1.0,c0,4.323616236300034,15.355638149125216,7.653200871843728,1680.5266666666666,130.0,256.84260556152094,1.8958240621872853,76.4519627812298,55.0,0.0,88.0,4.0,1
22,A,6.0,B,Y,0.0,a,A,0.0,c0,4.536484120840085,31.29749163109805,7.395252071976381,1249.7666666666667,70.0,195.45996430580587,1.2395714548489498,122.1343949037603,0.0,0.0,80.0,4.0,0
23,E,8.0,E,O,1.0,e,A,1.0,c0,4.6069562545437215,51.26880683815469,7.115163946113781,1421.9733333333334,90.0,219.63244906074792,2.478816815382256,579.9405845180381,0.0,0.0,60.0,2.0,0
24,E,11.0,E,Y,1.0,e,A,1.0,c0,4.323616236300034,-8.515870132068223,7.640765322823805,1158.5533333333333,130.0,256.5770949391463,2.9010282697572936,99.2179509210874,107.0,0.0,120.0,6.0,1
25,A,8.0,E,V,1.0,e,A,1.0,c0,3.5197170226212404,-1.4169339938155154,5.7465277433129645,1292.3666666666666,90.0,220.86315542755227,3.5253536074136926,197.0919560562594,0.0,0.0,80.0,5.0,0
26,D,8.0,E,Y,1.0,e,A,1.0,c0,5.231967389542413,14.774075826412787,7.51563512583663,1495.8466666666666,90.0,220.11391865476742,4.78099601762975,469.4473939139015,0.0,0.0,80.0,4.0,0
27,A,8.0,E,O,1.0,e,A,1.0,c0,4.886666579548511,27.370406802277593,8.071308105978366,846.76,90.0,220.0616921174541,0.9457612012345123,136.35185978730513,0.0,0.0,120.0,6.0,0
28,A,8.0,E,U,1.0,f,A,0.0,c0,2.74005678707146,56.60161801762706,5.996423993984764,1347.2733333333333,90.0,220.24126926663413,1.943784026234325,190.39253456913121,0.0,0.0,80.0,4.0,0
